history,asset,bars,disagree_bars,scored_bars,disagree_pct,max_ema_gap_bp,sharpe_study,sharpe_mt4,sharpe_gap,flips_study,flips_mt4,cagr_study,cagr_mt4
3x slow (396 bars),fx_futures/CHF,396,4,132,3.0303,7.7403,-0.9814,-0.8473,0.1342,4,4,-0.0538,-0.0474
3x slow (396 bars),fx_futures/CLP,396,0,132,0.0,11.6052,,,,0,0,0.0,0.0
3x slow (396 bars),fx_futures/CNH,396,0,132,0.0,1.887,0.3738,0.3738,0.0,1,1,0.0135,0.0135
3x slow (396 bars),fx_futures/CZK,396,11,132,8.3333,10.9099,-1.9785,-1.462,0.5165,2,2,-0.0294,-0.0356
3x slow (396 bars),fx_futures/EUR,396,2,132,1.5152,9.0314,-1.9373,-1.8047,0.1325,2,2,-0.0493,-0.0467
3x slow (396 bars),fx_futures/GBP,396,3,132,2.2727,11.8851,-0.0619,0.0891,0.1511,3,3,-0.0049,0.0034
3x slow (396 bars),fx_futures/INR,396,2,132,1.5152,3.305,-0.7939,-0.3639,0.4299,1,1,-0.0088,-0.0044
3x slow (396 bars),fx_futures/JPY,396,0,132,0.0,8.6081,,,,0,0,0.0,0.0
3x slow (396 bars),fx_futures/NOK,396,0,132,0.0,12.3008,,,,0,0,0.0,0.0
3x slow (396 bars),fx_futures/NZD,396,1,132,0.7576,16.5116,-1.7614,-1.3923,0.3692,1,1,-0.1082,-0.089
3x slow (396 bars),fx_futures/PLN,396,9,132,6.8182,7.9993,1.0285,1.184,0.1555,3,3,0.0962,0.1163
3x slow (396 bars),fx_futures/SEK,396,1,132,0.7576,11.6254,-0.7528,-0.9672,-0.2144,1,1,-0.0566,-0.0723
3x slow (396 bars),fx_futures/SGD,396,1,132,0.7576,3.0075,-1.3762,-1.3552,0.0211,3,3,-0.0456,-0.0449
3x slow (396 bars),fx_futures/ZAR,396,1,132,0.7576,8.7697,-2.0066,-2.0368,-0.0302,5,5,-0.1864,-0.1889
3x slow (396 bars),fx_spot_ctrl/SGDUSD,396,2,132,1.5152,7.3733,-0.4462,-0.4797,-0.0335,1,1,-0.0162,-0.0175
3x slow (396 bars),index/^DJI,396,0,132,0.0,4.5551,-0.6196,-0.6196,0.0,2,2,-0.0913,-0.0913
